LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default.payment.next.month
455566,1,1,1,47,-2,-1,7,0,5,0,66734,141077,228730,22238,295829,281674,27476,32795,27000,9867,34839,46345,1
136802,2,2,1,31,3,7,-2,5,2,6,402928,116625,258839,376061,155251,381416,34002,46262,35245,4648,9656,37199,1
334635,2,3,3,46,6,3,1,1,3,5,494868,367036,415912,39564,497215,183537,46918,12386,33945,3771,2617,15468,1
162738,2,2,3,61,0,5,4,8,-2,0,188693,15387,329689,328235,19153,272619,31918,42761,30605,41770,45169,28092,0
264833,1,2,1,66,3,3,8,-2,3,2,222377,308731,174580,9228,81136,258183,18207,46023,7311,21888,47282,45580,0
277888,1,1,1,49,0,1,6,3,5,4,23216,380330,335159,415944,446271,47385,22474,45100,41841,156,36346,22454,1
100578,1,4,1,60,-2,1,2,7,0,1,6866,240361,321213,87349,30281,160794,43026,47603,21281,43738,36210,34084,0
485096,2,4,1,53,2,3,-1,8,8,2,460709,465782,465509,257748,443410,9717,6536,42105,11073,43846,13507,23275,1
389815,1,1,1,56,7,1,4,8,-2,0,64312,353940,420708,130746,357610,55352,16286,29674,4313,40320,27122,6067,1
470354,2,4,1,25,8,5,7,-2,8,6,222889,373961,323723,361323,18342,405929,28864,20492,20835,12415,49611,2929,1
448465,2,2,2,26,1,6,-2,2,1,7,407677,98466,170753,160675,214660,414706,33819,24584,30898,18637,42807,47613,0
302970,1,3,1,51,4,-2,4,4,-2,6,444659,388647,389788,362304,377235,400973,38174,43630,33268,37246,15219,30627,1
461718,1,1,3,51,3,1,3,3,5,4,259698,416047,287604,142435,291550,363409,15910,15069,48136,24467,15052,5190,0
53361,2,3,2,44,7,1,4,-1,2,7,282516,180633,492634,376236,467935,396656,7292,7963,7657,7691,24178,42871,1
106031,1,4,1,52,4,-1,7,8,-2,-1,334841,106681,123753,15302,433822,335491,47741,7040,49288,12139,20229,26134,0
32161,2,3,3,26,2,3,0,1,5,4,480691,192525,39827,141655,166323,334916,3819,41349,32733,48629,18557,38596,0
169411,1,4,2,31,1,0,0,8,6,4,301334,369803,34945,249316,42313,333680,4790,38074,22711,7550,31348,6337,0
200451,1,4,3,35,4,4,4,-1,7,8,279737,208819,320015,22529,472128,257021,24747,24882,44409,36304,574,45345,0
142961,2,2,1,35,4,8,-1,8,-1,2,7267,368325,469630,93017,258643,181673,40963,13743,34723,23900,38166,29526,1
416081,1,4,1,62,3,8,-2,-2,6,6,40474,56782,965,467268,37198,365097,38725,33880,17435,37430,37002,36913,1
184809,2,2,1,55,5,2,6,0,5,8,288585,403005,362885,488417,408287,149323,46884,1921,44204,33055,41516,1568,0
147657,1,2,1,32,1,1,6,0,4,0,468120,126603,328532,369874,434253,271451,7080,28411,33330,21958,42072,15765,1
275921,2,2,2,26,7,2,4,4,0,1,433345,124464,366152,126100,319712,216677,18786,19921,34941,17695,28319,13372,1
79052,2,1,2,55,2,5,4,-2,-1,-2,491289,295190,177702,130258,223754,138311,14107,48892,44819,37717,39003,47479,0
403076,1,1,3,66,1,0,0,6,4,3,263917,35059,410248,322895,331086,487344,43043,25378,22420,16157,24619,9266,1
46529,2,4,1,28,-2,4,7,8,2,1,393965,13148,22353,58799,353341,129375,24417,27613,32845,39388,47576,35352,1
493574,1,2,3,51,5,3,-1,3,3,-2,420200,130514,377715,474154,446514,154646,1342,35618,37234,33992,9534,2137,1
388399,1,1,2,30,-2,-2,8,1,1,-1,324015,269033,133535,112406,477930,80793,35398,24226,22697,28883,45780,9884,1
107370,1,2,1,27,2,4,4,0,-1,0,169374,453808,238418,499817,257160,411490,19434,11228,4172,18440,12926,16929,1
12705,2,3,1,52,3,4,6,0,6,6,234989,423217,411318,247866,399247,293294,26557,26863,38571,10254,5136,39725,1
409576,2,3,2,42,3,-2,-2,-1,0,5,428958,245223,135679,385714,482254,306519,44689,47213,2390,35520,21955,39498,0
356360,1,3,2,44,2,6,1,-1,4,4,149273,18525,92603,1092,75621,410280,12836,20495,35895,4567,30745,47630,1
367213,1,4,2,27,0,3,3,7,5,8,461871,267626,340656,444373,9133,171459,12013,33982,45543,48527,11549,45838,0
387922,2,2,2,64,2,-1,4,2,-1,1,114903,352397,266697,135001,434481,96816,13159,48901,17348,48937,27789,4075,1
46281,1,3,2,41,5,2,7,6,3,-2,374758,169582,257201,333968,97636,99202,16905,41496,5103,6511,40394,41493,0
185648,1,1,1,23,-1,8,4,-1,8,5,315279,55531,128384,403177,21239,366309,5367,32951,11643,5196,12854,22558,1
66775,2,3,2,59,3,1,7,-1,5,1,374799,139283,17440,82073,80048,307057,34860,36799,28114,20635,29016,43294,1
432920,1,3,1,22,6,4,-1,3,4,0,218673,385794,205134,221254,192057,103169,10369,46824,47132,48184,16965,4464,1
315416,2,3,1,48,5,5,1,7,8,6,466320,175621,53279,246917,109632,72532,46307,47987,25614,20015,26488,41138,1
172140,1,4,2,60,8,8,2,-1,0,7,316236,405990,452994,156059,152626,60343,10784,48448,5636,18190,33345,7982,1
41143,2,1,2,48,5,8,-2,1,-2,1,144147,159760,20625,240877,487647,313899,12782,31282,31389,35179,17521,16692,0
162381,1,2,1,53,5,-2,-2,3,3,1,319227,81777,215825,158772,352202,59,14851,19235,36642,8936,49724,1442,1
169339,1,1,2,53,4,2,7,2,5,6,143407,217924,26122,180373,356095,9159,38426,6657,19664,18166,28188,6186,1
367507,2,2,2,47,5,0,0,-2,3,8,146816,226137,47771,334665,47342,194776,21380,19277,36075,14565,41223,22286,1
322403,1,4,2,32,3,-2,7,3,2,-1,199799,8054,329433,316296,366049,345674,40966,47147,16241,30076,36256,40916,1
444734,2,4,3,34,-1,0,0,-2,8,2,426215,58522,323555,116132,369672,347519,39242,44489,39454,8137,42640,38683,1
241385,1,4,1,42,-1,3,5,0,5,1,250148,92463,16526,448741,329872,215059,46474,26182,17053,27435,8690,11764,0
68601,2,4,3,63,5,4,6,7,-1,6,339450,56793,565,431394,114218,345536,37830,26850,12805,42877,11127,7584,1
359489,2,2,2,45,8,5,8,2,-2,2,195983,170763,39409,254541,211518,260548,2595,15446,43959,25708,24370,19463,1
382784,2,3,3,23,-2,8,-2,7,-2,6,131802,482311,381499,216625,423138,488465,41864,22725,27423,34174,42616,44163,1
285025,2,2,2,45,3,1,8,2,1,8,477320,254611,292288,188427,335100,81230,46903,35722,14257,3762,9880,4571,1
387773,1,1,3,59,3,0,-1,7,3,6,301790,313778,19059,353633,366384,300333,49684,20121,46754,22450,48553,27145,0
251959,1,4,2,28,8,2,7,3,6,-1,466975,178193,244048,335833,293687,245619,6263,9399,34542,4744,6380,4440,1
266139,2,4,3,24,1,6,-1,7,-2,6,101706,161743,356014,98090,224793,97233,30663,27042,11035,29973,8753,23510,0
219495,2,1,3,51,8,3,1,5,-2,0,73447,11573,434475,335729,379526,374995,9972,11266,30732,14052,8361,6339,1
22455,2,2,3,39,8,6,-1,2,2,1,427911,250166,467018,126215,33962,137754,13125,48714,43517,14363,29300,4016,1
62866,1,3,1,69,7,3,4,8,7,-2,340458,241804,163720,9279,336580,190854,37279,19516,34807,3838,45877,9542,1
25400,1,3,3,30,0,-1,6,-2,2,-2,93289,78915,67916,349604,498602,187415,48883,45483,12237,15511,12755,12762,1
321841,1,1,1,34,8,2,4,2,2,-2,134679,382162,118462,322396,390095,122102,29742,11277,32442,25333,27651,13813,1
164034,1,3,2,51,0,8,3,0,7,6,400331,246337,388085,205404,145281,215352,42529,9460,30957,29233,8788,32263,0
259199,2,2,3,47,-2,6,7,1,3,8,226934,169496,485742,262843,138909,236672,444,30845,41042,3333,31556,2749,1
454707,2,2,2,41,0,5,-2,5,5,5,335270,73454,233196,473584,333609,372110,1831,38968,8906,32572,6162,4040,1
132153,2,1,2,60,1,4,8,4,0,2,159176,276080,152676,297600,447927,382534,29836,28338,34981,24443,24565,9435,1
211087,1,2,3,36,8,-2,7,8,6,2,190614,376408,214595,328941,288974,79277,19449,11489,1368,26845,32759,43603,1
380220,1,4,1,45,8,1,6,2,-2,6,495356,140999,152406,31955,263701,296386,44487,1894,34808,41639,28956,31430,1
122111,1,1,3,63,2,4,2,-1,1,0,123808,109397,128243,82997,80192,448098,15099,30914,48021,17111,7000,36518,1
47720,2,2,2,26,0,8,8,3,6,0,253228,260967,296875,150476,357728,54393,21602,6551,8719,8702,8068,18518,0
151978,2,1,2,61,3,4,2,8,5,4,422201,77671,7867,269689,351149,236457,26395,17158,15564,27590,33569,10661,1
88998,1,3,3,45,8,3,3,3,7,6,119611,333306,129776,388295,483475,375176,13651,33789,29143,47251,40445,1898,1
465551,2,2,1,44,2,5,6,7,6,3,207606,302671,330691,160620,150096,305745,45424,4901,36619,25893,45403,24426,1
405978,1,4,1,29,0,8,5,7,-2,-1,307545,43541,16031,178191,378222,50292,23226,6362,17218,41595,40680,28714,1
320367,1,2,2,64,3,3,5,8,6,-2,240594,18260,41600,128075,217032,198303,21207,3083,33212,37851,48696,44850,1
437015,2,1,2,38,3,7,5,3,0,-1,229751,310144,146698,127304,279236,253619,42487,49803,44963,25916,20412,44104,0
403799,1,1,1,30,5,0,-2,6,8,-2,181254,147146,438902,474431,408226,497922,15598,19353,36327,32377,16558,21234,0
101419,2,2,3,32,-1,1,-2,8,7,7,293323,43222,382443,317728,110997,89303,40873,45289,35551,20334,1409,21178,1
447353,1,4,2,27,-2,0,5,5,6,7,312186,379714,11078,77950,171434,491211,6113,14679,19098,26531,22494,8056,1
274277,2,4,1,59,1,-2,2,5,-2,6,326644,157022,250856,361124,386654,188074,9139,37660,45571,25364,32568,12872,1
405645,2,4,2,23,4,7,6,-2,-2,7,35184,229799,137343,361010,285228,100160,47542,10953,13866,35455,40770,46283,1
449084,2,1,3,66,8,2,-1,2,6,5,315517,118406,324322,333235,46211,207054,42122,24916,10264,20499,13372,7051,0
165821,1,2,1,50,7,-2,6,4,8,4,476618,313658,360776,67360,215092,306997,19394,41230,18211,4988,25679,48434,1
63925,1,3,2,47,0,-2,5,3,3,0,270493,150744,431431,203995,293316,106748,31922,40816,32507,39435,33100,25236,1
121688,2,1,3,30,0,-1,6,2,1,5,357633,484010,237708,53378,454758,145719,47148,39714,43083,34242,27580,22830,0
219282,2,4,2,62,2,1,1,5,4,-1,278366,351473,497225,408310,94244,427273,10592,41186,6603,47506,13701,8731,0
410827,1,2,3,20,2,3,-2,0,2,-1,427370,68361,489993,327586,402976,499504,2950,10573,40690,21435,39814,33077,1
431757,1,4,3,68,7,5,-2,3,7,8,464791,208347,441083,253601,65312,159086,26873,24110,40641,3910,8668,22992,1
13406,1,3,1,66,0,0,2,2,4,7,92109,192710,287434,171507,121117,74428,7129,24243,29345,6080,45248,18533,1
260266,2,4,3,57,6,-2,-1,5,5,0,218430,267123,199003,92124,121671,396585,9365,44525,38032,38665,47629,13225,0
214531,1,4,2,43,1,0,5,1,5,4,196191,420965,182193,53223,438739,300227,44576,14844,9094,3387,18278,3324,1
118832,1,3,3,66,0,0,7,5,-2,-2,202607,291711,6062,484620,99508,50200,370,46574,8479,45391,18809,25966,1
68734,2,2,3,50,8,2,8,7,5,5,62762,30778,124587,99824,393480,473385,40841,22539,43140,14082,37163,15645,1
175431,1,1,1,60,-1,8,2,-1,3,4,406807,327707,359404,29937,230903,39024,25847,33489,24907,44943,22814,35393,0
472025,1,2,3,65,7,1,2,6,1,1,17883,4132,301816,480833,499545,312678,27964,13444,12296,38675,1430,36176,1
168369,1,3,3,69,8,1,-1,6,5,2,264113,389980,458211,274475,419545,211968,33588,20514,34436,43560,45993,16605,1
264207,2,4,2,45,6,6,4,7,0,7,330939,333318,25011,398328,369851,278311,21572,35490,44593,10701,21537,33456,1
354479,2,2,1,68,1,4,5,7,1,-2,103734,154392,77638,21882,435363,106607,5780,25637,31616,29784,10174,12933,1
188178,2,1,1,69,0,1,7,3,3,1,452925,146220,394621,283472,317015,344055,5141,46535,17367,4679,27783,36358,1
486173,2,3,1,24,4,0,-2,1,8,-2,419274,399136,179253,199104,421826,479859,37718,36856,24161,10114,10945,803,1
481599,2,2,3,39,5,3,-1,1,4,-2,235541,391668,59172,385982,130563,229212,11051,28220,37613,15495,10301,7580,1
133373,2,1,1,60,8,0,7,3,1,7,205574,176151,498225,19212,48851,261479,1405,44333,3375,37040,27286,12250,1
253651,2,3,3,30,-1,3,1,2,1,-2,118283,149473,393625,200845,307966,119905,48980,33277,10858,1235,19552,38646,0
157430,1,1,3,52,4,8,2,3,4,4,364996,279912,204370,399536,217345,445933,49019,32366,23129,45155,28649,3318,1
149571,1,3,2,69,2,8,-1,4,3,4,65871,4182,411673,261348,213220,485587,18907,12318,30212,3540,49841,9402,1
28074,2,4,2,57,8,6,-2,4,8,1,340118,41333,340301,275019,263373,393148,1276,19742,16958,18824,42950,17931,1
308686,1,2,2,46,2,3,6,6,5,-1,421228,63084,394987,48582,180691,271386,36363,34165,14919,4054,383,458,1
256312,1,1,2,53,0,1,-2,5,-2,0,114235,92705,407603,66165,313029,478398,41550,44589,2069,38448,2527,38106,1
35224,2,3,2,34,2,2,1,3,7,5,433213,256009,42364,338499,15284,76925,6250,15777,1630,7065,30503,28005,1
146536,1,1,3,51,-1,3,-1,3,8,5,16661,496120,311486,337523,484945,239245,6772,10774,13934,44237,31312,45033,1
455050,1,1,3,40,1,8,8,2,4,8,456393,326306,3392,489551,462354,268802,41111,29684,26525,26511,43909,1551,0
127385,1,2,1,65,3,0,1,-2,4,8,59181,30649,21728,355976,467635,245958,46095,3359,27818,47423,31452,13569,1
80998,1,4,3,24,-2,5,5,6,8,3,322879,262789,451990,246621,182501,401209,39537,35727,24701,14518,11385,36562,1
249831,1,1,3,25,7,1,5,6,4,7,125041,248322,263781,428663,265945,335201,10037,35156,20494,22715,23425,33757,1
492968,2,3,2,57,1,5,8,6,4,6,418276,72083,367950,52236,477065,63329,20576,17748,12614,34712,40449,12152,1
128607,2,3,3,41,3,7,6,8,7,8,256150,460136,419250,224647,451173,173225,30042,44633,20034,41595,46141,29784,1
339346,2,4,2,37,6,7,8,5,7,6,67620,220382,474793,143554,395122,169538,8014,25109,6937,21067,11845,39687,1
383193,1,3,1,33,8,0,2,7,5,1,285495,497279,434676,52318,203665,282816,10530,32288,5762,44621,26980,1669,1
126442,2,4,1,29,8,7,4,0,6,-2,203941,210036,241655,381751,282169,145729,14144,10478,14997,5899,7946,35881,1
366826,1,3,3,65,-1,4,0,-2,6,-2,330723,303978,167985,255396,396456,58635,25475,20867,49767,35434,24849,12604,1
190213,1,2,1,32,8,8,7,8,-1,7,440951,52381,77246,278384,136505,326841,25540,43120,16324,17409,4505,47392,0
319829,1,1,3,50,4,6,1,5,4,2,204694,227113,200160,205627,313224,425518,40714,10646,46822,5066,47086,26911,0
320429,1,2,1,49,3,1,7,4,4,-1,144940,119382,183246,230168,413967,465804,37650,19528,19613,19333,31902,1669,1
272529,2,1,2,22,-1,5,6,2,1,3,7257,417782,279787,58008,353727,486289,45686,15903,21950,44010,42710,20171,1
54241,2,1,2,49,5,0,7,7,6,4,287419,391959,332754,336458,239740,390558,41645,7555,39853,49026,49914,48315,1
419298,1,1,2,25,4,4,7,4,5,-2,201137,412089,489162,216223,292304,69851,12693,14485,4681,19639,9133,36518,1
167182,2,2,2,48,8,0,-2,7,-2,3,187324,361804,364193,408383,494337,426555,16564,11638,9115,44320,34707,15023,1
101394,1,1,3,27,2,4,-1,1,-1,5,91467,416341,321874,98143,300993,199980,25021,46179,48692,25482,44349,28763,0
29979,2,2,1,63,2,8,2,6,-1,2,215027,100414,167546,102527,392808,364955,713,37053,25295,35850,28796,29955,1
299537,2,4,3,64,4,7,0,8,8,4,492220,226021,17251,322879,363302,265634,45195,15805,2215,2268,31984,1167,0
342006,1,3,2,62,6,7,-1,7,5,7,148877,345923,144062,423001,350745,414303,2217,38166,2369,27865,20383,8941,1
18128,2,3,3,63,8,8,-2,-1,-2,3,299852,318696,384223,236098,358184,212752,16122,1106,45362,3508,33738,27588,1
260925,1,1,1,52,6,8,7,6,1,1,388243,358177,102635,363476,227204,30896,28458,26326,43668,13430,19778,20137,1
120982,2,2,3,36,6,3,0,6,7,4,374578,112129,356094,499664,237080,278411,25892,12516,22919,28340,23830,9501,1
326134,1,3,1,67,3,-1,-2,2,2,7,164387,49217,289889,495132,233931,85645,32722,5716,8161,40358,5145,38633,1
95439,1,2,3,30,7,8,-2,8,6,6,305430,458403,85928,372168,16627,482758,26376,44187,41514,28044,390,24449,1
348559,2,2,1,32,3,0,-2,-2,4,7,435632,280085,130812,369793,120532,263481,11450,9967,16230,46809,2757,15498,0
199500,2,1,1,69,0,3,5,4,5,7,7723,76912,248151,123809,77282,276779,10053,41119,20952,40516,9626,8083,0
468997,1,3,2,30,-2,1,0,7,8,4,217867,396718,209187,416769,443222,453632,45362,20661,34123,7812,22830,30558,1
77385,2,1,1,50,4,3,8,7,6,2,112136,457464,389281,202551,137484,312292,13198,714,17669,19447,1049,33313,0
177122,2,1,2,47,1,-2,-2,1,4,4,194316,84781,367202,480996,69221,151364,14048,36626,31433,33424,7796,33479,0
65602,1,3,2,63,-2,7,4,6,2,0,207994,408706,287287,40713,59883,148047,20647,29817,44264,46920,39072,11014,1
463099,1,3,2,25,5,-2,7,3,2,-1,373335,466612,411137,217920,349994,250789,6971,17208,39868,49385,38108,29766,1
439896,2,4,3,60,3,0,0,0,7,8,46910,469180,281334,277920,3041,433304,25363,14077,19080,38159,39486,45270,1
136391,1,4,3,35,3,5,5,3,8,2,256291,457078,482194,202578,235652,397364,33251,3684,14396,28688,46077,17659,0
333392,1,2,3,23,-1,5,1,7,3,1,282097,273210,108612,105289,59435,481370,39300,47071,14275,37830,5953,10538,1
410438,1,3,3,54,-2,8,1,3,2,2,247078,178105,357065,296494,424831,35943,35572,24699,17429,13661,8156,38607,1
282048,2,4,1,67,-1,1,2,2,8,5,365936,3636,184972,377958,479225,134163,7381,4276,24675,14180,16677,8844,1
269528,2,2,1,45,1,3,3,-1,6,1,191895,30456,139483,322419,479377,40103,22803,43433,20829,32717,45757,12687,0
128507,1,2,3,31,-1,5,4,7,0,6,472483,214419,90193,117224,220982,375539,1929,13941,6650,43591,38773,5032,1
55620,2,2,1,30,-2,4,1,7,0,4,240901,199663,276251,365803,322257,70416,889,10180,8172,48490,16206,13393,1
449635,1,4,1,56,4,8,5,-1,4,7,285606,92356,107734,128448,299852,49943,22006,14046,17146,17066,4381,20516,0
451204,2,3,2,44,8,4,3,4,4,4,412765,197740,100175,87601,175019,280836,12648,28228,28103,39827,30819,3207,1
320219,1,1,2,37,8,1,-2,-1,3,5,137618,87325,495265,345334,222032,205742,34168,3702,29633,42576,12840,43585,1
176124,1,2,2,38,5,6,-2,3,0,3,37601,424395,400873,421393,32161,357550,36212,24087,24310,31158,26557,25683,1
181112,2,4,2,42,3,7,6,2,4,5,353891,149097,374138,240769,397849,243507,44770,44787,36938,17379,47090,29405,1
365718,1,4,1,57,1,3,7,1,2,0,241505,299282,397030,265695,120401,212667,38034,9408,36862,30954,28630,18564,1
449584,2,1,3,37,3,8,3,4,4,7,448252,251421,484461,151373,230263,212750,2412,16559,21381,29222,46191,33491,1
444672,2,1,1,45,0,0,7,5,-1,7,491340,25941,286638,247309,240310,435938,18581,19806,6222,30326,19651,21589,1
392139,1,4,1,25,5,2,5,1,3,-2,199554,471116,110121,65991,280355,197612,13651,29311,26508,30963,31667,38065,1
324595,1,3,1,23,7,2,4,-2,5,3,207719,263612,431104,477915,408938,166698,19306,45962,19073,42352,44694,41070,0
51228,2,1,2,63,-1,2,3,-2,-2,-2,203981,162528,371365,400180,345940,169267,8003,19726,6896,8504,29399,33592,0
89198,1,4,2,48,2,5,1,-2,1,6,162277,79063,207154,333986,331531,98300,4885,3457,49090,18364,30744,24566,1
450291,1,1,2,53,-2,6,4,8,8,-1,390843,169263,236784,269097,263372,430344,26049,17397,18487,29300,35815,39113,0
307150,1,3,3,36,3,6,6,-2,-2,8,379497,10255,205626,396084,47977,73315,36019,9504,31289,14166,44105,24714,0
14506,1,2,1,62,-1,3,8,2,-2,-1,239322,181779,464971,247378,201004,454305,35095,32588,24506,48907,4409,5575,1
59721,1,1,3,62,1,3,7,1,7,4,22330,265742,171765,149986,478658,141733,22547,1463,7141,13157,16842,5817,0
335115,2,3,2,35,3,6,7,6,8,-1,154779,435933,481742,80187,497774,449713,26113,14596,2777,23481,19884,47429,1
12480,2,4,3,21,7,1,4,0,5,7,146151,343687,455135,323792,365249,395410,25816,27258,31288,43868,45485,10678,1
88795,1,1,1,53,8,3,-2,4,4,5,405543,55791,315260,464712,113757,290993,34578,13866,12351,4003,47800,40796,0
278879,1,1,1,27,5,1,7,8,7,3,43787,73873,289910,76809,50945,334735,2396,27549,12182,41034,6019,12335,1
349028,1,4,2,32,5,8,6,5,-2,4,402837,214061,185044,90009,207382,162922,35494,5735,47848,28550,5955,21539,1
329461,2,2,2,61,8,-2,1,3,8,4,334591,97853,9169,216803,428285,287114,29110,47140,23088,1590,46743,32747,1
119891,1,4,3,27,3,4,0,7,-1,3,366220,13924,63811,403449,360932,146201,9905,14545,1471,45145,14788,7943,1
358967,2,1,2,49,1,7,1,-2,1,7,216106,402507,377115,146961,441946,201136,2452,46150,16992,1959,12090,36862,1
126252,2,4,2,51,5,8,1,5,-2,8,339862,9761,235770,126956,307888,382331,5426,16291,29224,25760,1781,34495,1
169445,2,3,1,55,5,3,7,7,0,6,304514,415344,74919,309983,65164,121966,26234,39092,16428,2451,13779,27154,1
375780,1,4,2,66,7,6,8,0,5,6,384490,72051,131980,267807,57397,419423,37920,12309,1342,3560,34676,28294,1
328320,2,1,2,49,-2,4,-1,5,5,4,223384,487339,473918,30110,24001,187941,16732,33488,22215,44360,21301,5288,1
