LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default_payment_next_month,PAY_MEAN,PAY_STD,PAY_MAX,PAY_MIN,BILL_AMT_MEAN,BILL_AMT_STD,BILL_AMT_TOTAL,PAY_AMT_MEAN,PAY_AMT_TOTAL,AGE_BINNED,PAYMENT_RATIO,CREDIT_UTILIZATION
78351,1,2,3,29,3,-1,7,5,7,1,27342,411829,396505,474801,82148,418644,5110,19915,34286,42296,4754,37979,1,12030.166666666666,16829.37612322482,42296,-1,301878.1666666667,194026.5148946573,1811269,24056.666666666668,144340,0,0.07968998530859873,23.117369273868654
153150,2,2,3,54,7,1,-1,8,0,-2,203691,341363,66321,164538,376629,306506,7142,49119,35351,17828,6845,22199,0,11541.416666666666,16438.351141922707,49119,-2,243174.66666666666,118728.06775260292,1459048,23080.666666666668,138484,3,0.09491394388663367,9.526921318906124
189517,1,4,2,44,7,4,-2,7,3,3,88704,350379,259319,47435,380397,86224,43100,17276,11629,11631,39640,38994,1,13524.333333333334,17382.21307352241,43100,-2,202076.33333333334,146463.41185929906,1212458,27045.0,162270,2,0.13383556378849096,6.397621321536339
233474,1,3,3,22,8,-1,2,8,0,0,54818,363335,389533,498424,29963,10370,19946,18606,44037,31324,21791,37435,1,14429.666666666666,16629.984351019444,44037,-1,224407.16666666666,216348.62457378063,1346443,28856.5,173139,0,0.12858992174185718,5.7669933268553795
394736,2,3,3,66,3,-2,3,7,2,3,283516,471301,130316,133922,9392,15790,8463,30486,26886,46060,6595,28915,1,12285.083333333334,16275.724323825083,46060,-2,174039.5,176647.8786736484,1044237,24567.5,147405,4,0.1411604836831666,2.645406043526191
107840,1,1,2,57,5,0,3,4,6,3,464167,416095,81458,425628,486967,253682,25533,13717,42854,9164,17014,41675,1,12498.166666666666,16271.464888142697,42854,0,354666.1666666667,156935.3565050485,2127997,24992.833333333332,149957,3,0.07046861438241198,19.732909866285862
261974,2,1,3,36,5,1,6,7,-1,1,27393,311695,168409,82770,96691,367186,20833,34928,13547,40150,25711,9782,1,12080.833333333334,14938.989656924492,40150,-1,175690.66666666666,135711.50254074513,1054144,24158.5,144951,1,0.13750588154925938,4.023849694992542
300283,2,3,3,31,8,5,1,2,8,-1,210777,332857,277349,365676,411069,60420,10958,7642,37773,23830,42602,8090,1,10909.833333333334,15448.540559685318,42602,-1,276358.0,126686.98838633744,1658148,21815.833333333332,130895,1,0.07894048058431519,5.521950959576393
32760,2,3,3,43,6,3,-2,8,-1,6,353767,106870,287639,262224,280925,110642,36037,5401,28728,39975,32087,37532,0,14981.666666666666,17827.347451360096,39975,-2,233677.83333333334,101585.8619364263,1402067,29960.0,179760,2,0.1282107060503327,42.79813797183156
307696,1,3,1,48,5,8,3,3,3,-1,231343,328659,65438,490453,132236,163629,31564,26743,2420,25277,8801,12239,1,8922.083333333334,12166.516125365875,31564,-1,235293.0,153913.3738347646,1411758,17840.666666666668,107044,2,0.07582319349344872,4.588158442083784
93556,1,4,2,62,8,-1,2,2,3,0,403247,212339,228784,276415,64985,109038,4983,27774,20267,18866,7935,139,1,6664.833333333333,9967.429675364323,27774,-1,215801.33333333334,120941.64515941839,1294808,13327.333333333334,79964,4,0.061757418860509235,13.839924750803371
41875,1,3,2,44,-1,6,7,4,8,7,89822,76480,134141,12507,248338,195668,46269,5332,9195,34837,20616,45598,0,13489.833333333334,18556.805205213594,46269,-1,126159.33333333333,85472.89530527598,756956,26974.5,161847,2,0.21381295610284637,18.07656119359817
474953,2,1,2,55,7,-1,3,-1,8,-2,479797,403201,421012,301938,203677,279807,27923,48208,17958,45031,3759,31146,1,14503.25,18863.284000816362,48208,-2,348238.6666666667,103294.85118371906,2089432,29004.166666666668,174025,3,0.08328818549726276,4.399239503688998
483159,1,4,1,45,8,2,0,2,5,4,192581,255123,156787,72658,349443,342468,12510,28664,19167,16012,37778,22246,1,11366.5,13394.629435981897,37778,0,228176.66666666666,108668.05329013061,1369060,22729.5,136377,2,0.09961360349429564,2.833559966795954
406114,2,3,1,57,-2,1,-1,7,8,-2,170784,488712,419352,399270,452084,481887,10314,7551,23746,23037,20072,36286,0,10084.75,12638.703163659273,36286,-2,402014.8333333333,118472.52247574822,2412089,20167.666666666668,121006,3,0.05016647395678594,5.939438187292387
159260,2,1,2,20,7,4,3,0,-1,8,437302,140839,214282,428284,402624,465421,6797,15572,30014,11470,17151,16666,0,8140.916666666667,9989.565897005037,30014,-1,348125.3333333333,135637.70100627135,2088752,16278.333333333334,97670,0,0.04675997916456968,13.115358533133772
57859,1,4,1,39,-1,5,-2,6,6,6,281933,240335,363292,241046,137226,285063,21231,40011,28548,9170,25455,47683,0,14343.166666666666,17590.34130028767,47683,-2,258149.16666666666,74266.16407871533,1548895,28683.0,172098,1,0.11111017854656959,26.770165401635523
345274,2,3,2,47,-1,2,4,3,-1,8,258222,223997,255030,391610,439466,367075,6777,26161,1949,38894,35447,3431,1,9389.5,14945.892196368022,38894,-1,322566.6666666667,88125.8695359465,1935400,18776.5,112659,2,0.058209672419108086,5.605403244942841
225674,1,3,1,35,0,7,4,7,-2,8,363488,60389,310981,72555,416695,475436,20790,9407,37534,10033,28467,32047,1,11525.166666666666,14376.76431438991,37534,-2,283257.3333333333,176640.64065176694,1699544,23046.333333333332,138278,1,0.08136182411277297,7.530969451476328
69798,1,3,3,66,7,2,7,0,7,-2,289917,213057,197678,246039,464568,41735,7438,5142,47459,39665,40120,38864,0,14892.416666666666,19922.68938334259,47459,-2,242165.66666666666,137664.01818872886,1452994,29781.333333333332,178688,4,0.12297917265995388,20.817129430344465
252636,1,4,3,36,4,-1,4,4,-1,2,81257,143776,384103,196972,229330,2817,32840,21538,17434,21460,31468,23456,1,12350.666666666666,13540.439124968203,32840,-1,173042.5,131563.87434968614,1038255,24699.333333333332,148196,1,0.1427356477935163,4.109687455453262
26850,1,1,2,59,-1,5,8,1,4,4,337098,80160,212594,305658,384287,14899,39262,16870,8987,49752,39398,37748,0,16003.166666666666,19739.27125777137,49752,-1,222449.33333333334,148108.03635949898,1334696,32002.833333333332,192017,3,0.1438657192348341,49.709348229061106
455566,1,1,1,47,-2,-1,7,0,5,0,66734,141077,228730,22238,295829,281674,27476,32795,27000,9867,34839,46345,1,14860.916666666666,17498.709523631285,46345,-2,172713.66666666666,114055.30572957432,1036282,29720.333333333332,178322,2,0.17207864268589818,2.274713213887176
136802,2,2,1,31,3,7,-2,5,2,6,402928,116625,258839,376061,155251,381416,34002,46262,35245,4648,9656,37199,1,13919.416666666666,18370.244509969394,46262,-2,281853.3333333333,124342.3471238446,1691120,27835.333333333332,167012,1,0.09875821940483304,12.361807575822269
334635,2,3,3,46,6,3,1,1,3,5,494868,367036,415912,39564,497215,183537,46918,12386,33945,3771,2617,15468,1,9593.666666666666,15558.808375341798,46918,1,333022.0,184198.0109827465,1998132,19184.166666666668,115105,2,0.057606304288176355,5.9710789367341395
162738,2,2,3,61,0,5,4,8,-2,0,188693,15387,329689,328235,19153,272619,31918,42761,30605,41770,45169,28092,0,18360.833333333332,19800.407469789527,45169,-2,192296.0,144980.21026195266,1153776,36719.166666666664,220315,4,0.19095127650411262,7.089776204653554
264833,1,2,1,66,3,3,8,-2,3,2,222377,308731,174580,9228,81136,258183,18207,46023,7311,21888,47282,45580,0,15525.666666666666,20006.16895920462,47282,-2,175705.83333333334,112548.62562895501,1054235,31048.5,186291,4,0.17670728063460547,3.980753909052192
277888,1,1,1,49,0,1,6,3,5,4,23216,380330,335159,415944,446271,47385,22474,45100,41841,156,36346,22454,1,14032.5,18468.807947455625,45100,0,274717.5,189270.05722062854,1648305,28061.833333333332,168371,2,0.10214796412065598,5.931544363175338
100578,1,4,1,60,-2,1,2,7,0,1,6866,240361,321213,87349,30281,160794,43026,47603,21281,43738,36210,34084,0,18829.25,20674.031225516625,47603,-2,141144.0,123182.84655584153,846864,37657.0,225942,4,0.2667984469758228,8.419972558527512
485096,2,4,1,53,2,3,-1,8,8,2,460709,465782,465509,257748,443410,9717,6536,42105,11073,43846,13507,23275,1,11697.0,16356.706931297744,43846,-1,350479.1666666667,185489.23708659396,2102875,23390.333333333332,140342,3,0.06673815609578947,4.334966686997347
389815,1,1,1,56,7,1,4,8,-2,0,64312,353940,420708,130746,357610,55352,16286,29674,4313,40320,27122,6067,1,10316.666666666666,14413.669694446522,40320,-2,230444.66666666666,164814.7956691591,1382668,20630.333333333332,123782,3,0.08952402167397414,3.5469851083115143
470354,2,4,1,25,8,5,7,-2,8,6,222889,373961,323723,361323,18342,405929,28864,20492,20835,12415,49611,2929,1,11264.833333333334,15921.26928947183,49611,-2,284361.1666666667,144792.52070244052,1706167,22524.333333333332,135146,0,0.07921030004678369,3.627410418528114
448465,2,2,2,26,1,6,-2,2,1,7,407677,98466,170753,160675,214660,414706,33819,24584,30898,18637,42807,47613,0,16531.083333333332,18757.394926987323,47613,-2,244489.5,134371.44078523532,1466937,33059.666666666664,198358,0,0.1352191675578875,3.2710178051725975
302970,1,3,1,51,4,-2,4,4,-2,6,444659,388647,389788,362304,377235,400973,38174,43630,33268,37246,15219,30627,1,16514.833333333332,18467.686909515192,43630,-2,393934.3333333333,28096.36393319724,2363606,33027.333333333336,198164,3,0.08383969240216693,7.801452288979762
461718,1,1,3,51,3,1,3,3,5,4,259698,416047,287604,142435,291550,363409,15910,15069,48136,24467,15052,5190,0,10320.25,14682.455820870642,48136,1,293457.1666666667,93708.91017062713,1760743,20637.333333333332,123824,3,0.07032485717673145,3.813459730823114
53361,2,3,2,44,7,1,4,-1,2,7,282516,180633,492634,376236,467935,396656,7292,7963,7657,7691,24178,42871,1,8139.333333333333,13010.056399383959,42871,-1,366101.6666666667,117304.6641368819,2196610,16275.333333333334,97652,2,0.044455775035147596,41.16508311236362
106031,1,4,1,52,4,-1,7,8,-2,-1,334841,106681,123753,15302,433822,335491,47741,7040,49288,12139,20229,26134,0,13548.833333333334,18573.624656452706,49288,-2,224981.66666666666,164986.98373104061,1349890,27095.166666666668,162571,3,0.12043277600388147,12.731088077894851
32161,2,3,3,26,2,3,0,1,5,4,480691,192525,39827,141655,166323,334916,3819,41349,32733,48629,18557,38596,0,15308.166666666666,19499.38789637596,48629,0,225989.5,156962.78844586064,1355937,30613.833333333332,183683,0,0.13546573328986858,42.160909174398775
169411,1,4,2,31,1,0,0,8,6,4,301334,369803,34945,249316,42313,333680,4790,38074,22711,7550,31348,6337,0,9235.75,13633.619709613571,38074,0,221898.5,147400.8994555325,1331391,18468.333333333332,110810,1,0.0832287434719904,7.858940682671969
200451,1,4,3,35,4,4,4,-1,7,8,279737,208819,320015,22529,472128,257021,24747,24882,44409,36304,574,45345,0,14690.583333333334,19041.5990278621,45345,-1,260041.5,146976.51001945854,1560249,29376.833333333332,176261,1,0.11296978879645943,7.783692772758511
142961,2,2,1,35,4,8,-1,8,-1,2,7267,368325,469630,93017,258643,181673,40963,13743,34723,23900,38166,29526,1,15086.75,17164.557093165713,40963,-1,229759.16666666666,172096.62778615582,1378555,30170.166666666668,181021,1,0.13131213480772888,9.642874630076435
416081,1,4,1,62,3,8,-2,-2,6,6,40474,56782,965,467268,37198,365097,38725,33880,17435,37430,37002,36913,1,16783.666666666668,18349.843384683812,38725,-2,161297.33333333334,200888.61959769315,967784,33564.166666666664,201385,4,0.20808878840711553,2.325950956659098
184809,2,2,1,55,5,2,6,0,5,8,288585,403005,362885,488417,408287,149323,46884,1921,44204,33055,41516,1568,0,14097.833333333334,20426.08963526496,46884,0,350083.6666666667,117962.03801336541,2100502,28191.333333333332,169148,3,0.08052741677937916,11.365799284605371
147657,1,2,1,32,1,1,6,0,4,0,468120,126603,328532,369874,434253,271451,7080,28411,33330,21958,42072,15765,1,12385.666666666666,15456.936020813284,42072,0,333138.8333333333,123512.85331562326,1998833,24769.333333333332,148616,1,0.07435138403254582,13.537001293446723
275921,2,2,2,26,7,2,4,4,0,1,433345,124464,366152,126100,319712,216677,18786,19921,34941,17695,28319,13372,1,11087.666666666666,12753.917575206118,34941,0,264408.3333333333,128795.7749938509,1586450,22172.333333333332,133034,0,0.08385640896335601,5.749652980361228
79052,2,1,2,55,2,5,4,-2,-1,-2,491289,295190,177702,130258,223754,138311,14107,48892,44819,37717,39003,47479,0,19335.25,21971.090005339454,48892,-2,242750.66666666666,136143.7719642976,1456504,38669.5,232017,3,0.15929719382840055,18.424631887638206
403076,1,1,3,66,1,0,0,6,4,3,263917,35059,410248,322895,331086,487344,43043,25378,22420,16157,24619,9266,1,11741.416666666666,14453.91226345646,43043,0,308424.8333333333,154798.42746671126,1850549,23480.5,140883,4,0.07613038076804444,4.591067193272258
46529,2,4,1,28,-2,4,7,8,2,1,393965,13148,22353,58799,353341,129375,24417,27613,32845,39388,47576,35352,1,17267.583333333332,18887.424471701863,47576,-2,161830.16666666666,169583.02154687146,970981,34531.833333333336,207191,0,0.21338316609674815,20.86829719055066
493574,1,2,3,51,5,3,-1,3,3,-2,420200,130514,377715,474154,446514,154646,1342,35618,37234,33992,9534,2137,1,9989.0,15697.053105020006,37234,-2,333957.1666666667,151801.43849175694,2003743,19976.166666666668,119857,3,0.059816553320430906,4.059660760080434
388399,1,1,2,30,-2,-2,8,1,1,-1,324015,269033,133535,112406,477930,80793,35398,24226,22697,28883,45780,9884,1,13906.083333333334,16684.91715433342,45780,-2,232952.0,153085.57626373557,1397712,27811.333333333332,166868,1,0.11938654028861498,3.5986498420346122
107370,1,2,1,27,2,4,4,0,-1,0,169374,453808,238418,499817,257160,411490,19434,11228,4172,18440,12926,16929,1,6928.166666666667,8195.709285776898,19434,-1,338344.5,134076.62777046565,2030067,13854.833333333334,83129,0,0.04094889479015178,18.90720871734277
12705,2,3,1,52,3,4,6,0,6,6,234989,423217,411318,247866,399247,293294,26557,26863,38571,10254,5136,39725,1,12260.916666666666,16012.083218383055,39725,0,334988.5,86102.58642050192,2009931,24517.666666666668,147106,3,0.07318957715460223,158.1999999875482
409576,2,3,2,42,3,-2,-2,-1,0,5,428958,245223,135679,385714,482254,306519,44689,47213,2390,35520,21955,39498,0,15939.0,20196.87196752822,47213,-2,330724.5,127729.41306175332,1984347,31877.5,191265,2,0.09638687185250544,4.844881047705811
356360,1,3,2,44,2,6,1,-1,4,4,149273,18525,92603,1092,75621,410280,12836,20495,35895,4567,30745,47630,1,12682.0,16997.301780523336,47630,-1,124565.66666666667,149766.94855363338,747394,25361.333333333332,152168,2,0.20359810220552532,2.097300482652101
367213,1,4,2,27,0,3,3,7,5,8,461871,267626,340656,444373,9133,171459,12013,33982,45543,48527,11549,45838,0,16456.5,20698.766245622202,48527,0,282519.6666666667,172649.8178576122,1695118,32908.666666666664,197452,0,0.11648274633381482,4.616170996112294
387922,2,2,2,64,2,-1,4,2,-1,1,114903,352397,266697,135001,434481,96816,13159,48901,17348,48937,27789,4075,1,13351.333333333334,18853.4711216087,48937,-1,233382.5,140058.29801015006,1400295,26701.5,160209,4,0.11441089199053456,3.6097334000040995
46281,1,3,2,41,5,2,7,6,3,-2,374758,169582,257201,333968,97636,99202,16905,41496,5103,6511,40394,41493,0,12660.25,17853.168861195583,41496,-2,222057.83333333334,118662.82479768744,1332347,25317.0,151902,2,0.11401083951844826,28.788206822912464
185648,1,1,1,23,-1,8,4,-1,8,5,315279,55531,128384,403177,21239,366309,5367,32951,11643,5196,12854,22558,1,7549.333333333333,10733.594673084157,32951,-1,214986.5,166635.46567012678,1289919,15094.833333333334,90569,0,0.07021293585095637,6.948197664359712
66775,2,3,2,59,3,1,7,-1,5,1,374799,139283,17440,82073,80048,307057,34860,36799,28114,20635,29016,43294,1,16061.166666666666,17597.396769426043,43294,-1,166783.33333333334,141919.5386867737,1000700,32119.666666666668,192718,3,0.1925831917655715,14.986147510071344
432920,1,3,1,22,6,4,-1,3,4,0,218673,385794,205134,221254,192057,103169,10369,46824,47132,48184,16965,4464,1,14496.166666666666,20514.293995931595,48184,-1,221013.5,91799.9047423253,1326081,28989.666666666668,173938,0,0.1311669498317741,3.063108657481606
315416,2,3,1,48,5,5,1,7,8,6,466320,175621,53279,246917,109632,72532,46307,47987,25614,20015,26488,41138,1,17298.416666666668,19787.264951608435,47987,1,187383.5,154083.31823107912,1124301,34591.5,207549,2,0.18460269981065158,3.564502117826729
172140,1,4,2,60,8,8,2,-1,0,7,316236,405990,452994,156059,152626,60343,10784,48448,5636,18190,33345,7982,1,10367.416666666666,15701.608333707461,48448,-1,257374.66666666666,157401.85677896772,1544248,20730.833333333332,124385,4,0.08054729551206766,8.9708841640004
41143,2,1,2,48,5,8,-2,1,-2,1,144147,159760,20625,240877,487647,313899,12782,31282,31389,35179,17521,16692,0,12071.333333333334,14147.848383368684,35179,-2,227825.83333333334,161029.967253821,1366955,24140.833333333332,144845,2,0.10596179098792136,33.224485330840615
162381,1,2,1,53,5,-2,-2,3,3,1,319227,81777,215825,158772,352202,59,14851,19235,36642,8936,49724,1442,1,10903.166666666666,16681.597802441596,49724,-2,187977.0,135953.27945879055,1127862,21805.0,130830,3,0.11599823382637592,6.9457756756828335
169339,1,1,2,53,4,2,7,2,5,6,143407,217924,26122,180373,356095,9159,38426,6657,19664,18166,28188,6186,1,9776.083333333334,13223.663317624158,38426,2,155513.33333333334,128883.18018836541,933080,19547.833333333332,117287,3,0.12569876109216177,5.510130566464251
367507,2,2,2,47,5,0,0,-2,3,8,146816,226137,47771,334665,47342,194776,21380,19277,36075,14565,41223,22286,1,12901.666666666666,15198.138560263547,41223,-2,166251.16666666666,110741.01672174889,997507,25801.0,154806,2,0.15519289588929683,2.7142530618390555
322403,1,4,2,32,3,-2,7,3,2,-1,199799,8054,329433,316296,366049,345674,40966,47147,16241,30076,36256,40916,1,17634.5,19831.788547682732,47147,-2,260884.16666666666,136874.29458801483,1565305,35267.0,211602,1,0.13518260019604156,4.855119214136174
444734,2,4,3,34,-1,0,0,-2,8,2,426215,58522,323555,116132,369672,347519,39242,44489,39454,8137,42640,38683,1,17721.0,20644.55164752368,44489,-2,273602.5,149355.55233435414,1641615,35440.833333333336,212645,1,0.1295340259438848,3.691228914353993
241385,1,4,1,42,-1,3,5,0,5,1,250148,92463,16526,448741,329872,215059,46474,26182,17053,27435,8690,11764,0,11467.583333333334,15149.725712838579,46474,-1,225468.16666666666,156726.2369961286,1352809,22933.0,137598,2,0.10171280646410416,5.6043623257219615
68601,2,4,3,63,5,4,6,7,-1,6,339450,56793,565,431394,114218,345536,37830,26850,12805,42877,11127,7584,1,11591.666666666666,15734.626172485916,42877,-1,214659.33333333334,179176.98083589494,1287956,23178.833333333332,139073,4,0.10797962042173181,18.774595122246403
359489,2,2,2,45,8,5,8,2,-2,2,195983,170763,39409,254541,211518,260548,2595,15446,43959,25708,24370,19463,1,10963.666666666666,14674.930629127246,43959,-2,188793.66666666666,80845.97900617363,1132762,21923.5,131541,2,0.11612412845759645,3.1510338285645707
382784,2,3,3,23,-2,8,-2,7,-2,6,131802,482311,381499,216625,423138,488465,41864,22725,27423,34174,42616,44163,1,17748.333333333332,19482.760394925062,44163,-2,353973.3333333333,147190.11145680494,2123840,35494.166666666664,212965,0,0.10027356109683391,5.548403277029478
285025,2,2,2,45,3,1,8,2,1,8,477320,254611,292288,188427,335100,81230,46903,35722,14257,3762,9880,4571,1,9593.166666666666,15688.820019557259,46903,1,271496.0,134333.9181279248,1628976,19182.5,115095,2,0.07065481627717618,5.715203929459818
387773,1,1,3,59,3,0,-1,7,3,6,301790,313778,19059,353633,366384,300333,49684,20121,46754,22450,48553,27145,0,17893.75,20922.591057710368,49684,-1,275829.5,128762.61062707605,1654977,35784.5,214707,3,0.1297341292355545,4.267901581584412
251959,1,4,2,28,8,2,7,3,6,-1,466975,178193,244048,335833,293687,245619,6263,9399,34542,4744,6380,4440,1,5482.75,9737.057901038785,34542,-1,294059.1666666667,99917.57822608926,1764355,10961.333333333334,65768,0,0.037275945033716416,7.00254803358085
266139,2,4,3,24,1,6,-1,7,-2,6,101706,161743,356014,98090,224793,97233,30663,27042,11035,29973,8753,23510,0,10916.083333333334,13111.570251002344,30663,-2,173263.16666666666,102701.43560713582,1039579,21829.333333333332,130976,0,0.12598946304212957,3.9061505453770167
219495,2,1,3,51,8,3,1,5,-2,0,73447,11573,434475,335729,379526,374995,9972,11266,30732,14052,8361,6339,1,6728.083333333333,9220.343855334575,30732,-2,268290.8333333333,178769.28729557173,1609745,13453.666666666666,80722,3,0.050145830550770376,7.333857263229987
22455,2,2,3,39,8,6,-1,2,2,1,427911,250166,467018,126215,33962,137754,13125,48714,43517,14363,29300,4016,1,12754.416666666666,18009.74764074537,48714,-1,240504.33333333334,174815.59762980725,1443026,25505.833333333332,153035,1,0.10605145021634672,64.26301491586449
62866,1,3,1,69,7,3,4,8,7,-2,340458,241804,163720,9279,336580,190854,37279,19516,34807,3838,45877,9542,1,12573.833333333334,17308.403785619877,45877,-2,213782.5,123907.03313331329,1282695,25143.166666666668,150859,4,0.11761096753310989,20.403636305468716
25400,1,3,3,30,0,-1,6,-2,2,-2,93289,78915,67916,349604,498602,187415,48883,45483,12237,15511,12755,12762,1,12302.833333333334,17471.609411392026,48883,-2,212623.5,175636.99765909233,1275741,24605.166666666668,147631,1,0.1157217648408919,50.22602362006984
